Game won?;1
Distance Ball Traveled;83.73125000000017
Distance Ball Traveled Alone;83.73125000000017
Distance Ball was held;0.0
Time steps the ball was alone;1578
Time steps the ball was held;311
Offender RCB distance traveled;56.670000000000876
Offender RCB distance traveled without ball;56.670000000000876
Offender RCB distance traveled with ball;0
Offender RCB time steps without ball;1889
Offender RCB time steps with ball;0
Offender RCB receive locations;[]
Offender RCB number of keeps;0
Offender RCB number of goals;0
Offender RCB location of goal shots;[]
Offender RCB number of passes;0
Offender RCB number of goal attempts;0
Offender RCB locations of goal attempts;[]
Offender CCB distance traveled;56.67000000000071
Offender CCB distance traveled without ball;56.67000000000071
Offender CCB distance traveled with ball;0
Offender CCB time steps without ball;1889
Offender CCB time steps with ball;0
Offender CCB receive locations;[]
Offender CCB number of keeps;0
Offender CCB number of goals;0
Offender CCB location of goal shots;[]
Offender CCB number of passes;0
Offender CCB number of goal attempts;0
Offender CCB locations of goal attempts;[]
Offender LCB distance traveled;56.67000000000068
Offender LCB distance traveled without ball;56.67000000000068
Offender LCB distance traveled with ball;0
Offender LCB time steps without ball;1889
Offender LCB time steps with ball;0
Offender LCB receive locations;[]
Offender LCB number of keeps;0
Offender LCB number of goals;0
Offender LCB location of goal shots;[]
Offender LCB number of passes;1
Offender LCB number of goal attempts;0
Offender LCB locations of goal attempts;[]
Offender RWB distance traveled;56.67000000000095
Offender RWB distance traveled without ball;56.67000000000095
Offender RWB distance traveled with ball;0
Offender RWB time steps without ball;1889
Offender RWB time steps with ball;0
Offender RWB receive locations;[]
Offender RWB number of keeps;0
Offender RWB number of goals;0
Offender RWB location of goal shots;[]
Offender RWB number of passes;0
Offender RWB number of goal attempts;0
Offender RWB locations of goal attempts;[]
Offender RAM distance traveled;53.4300000000006
Offender RAM distance traveled without ball;48.48000000000041
Offender RAM distance traveled with ball;4.95000000000001
Offender RAM time steps without ball;1723
Offender RAM time steps with ball;166
Offender RAM receive locations;[(-3.479922166159866, 24.62634827878906)]
Offender RAM number of keeps;165
Offender RAM number of goals;1
Offender RAM location of goal shots;[(-7.15286976284506, 21.307945780094787)]
Offender RAM number of passes;1
Offender RAM number of goal attempts;0
Offender RAM locations of goal attempts;[]
Offender CDM distance traveled;53.31000000000071
Offender CDM distance traveled without ball;51.300000000000665
Offender CDM distance traveled with ball;2.0100000000000104
Offender CDM time steps without ball;1821
Offender CDM time steps with ball;68
Offender CDM receive locations;[(4.667999854489014, 49.59333325249388)]
Offender CDM number of keeps;67
Offender CDM number of goals;0
Offender CDM location of goal shots;[]
Offender CDM number of passes;1
Offender CDM number of goal attempts;0
Offender CDM locations of goal attempts;[]
Offender LAM distance traveled;53.53000000000043
Offender LAM distance traveled without ball;53.53000000000043
Offender LAM distance traveled with ball;0
Offender LAM time steps without ball;1888
Offender LAM time steps with ball;1
Offender LAM receive locations;[(8.956443412240299, 27.455600796586634)]
Offender LAM number of keeps;0
Offender LAM number of goals;0
Offender LAM location of goal shots;[]
Offender LAM number of passes;1
Offender LAM number of goal attempts;0
Offender LAM locations of goal attempts;[]
Offender LWB distance traveled;56.670000000000975
Offender LWB distance traveled without ball;56.670000000000975
Offender LWB distance traveled with ball;0
Offender LWB time steps without ball;1889
Offender LWB time steps with ball;0
Offender LWB receive locations;[]
Offender LWB number of keeps;0
Offender LWB number of goals;0
Offender LWB location of goal shots;[]
Offender LWB number of passes;0
Offender LWB number of goal attempts;0
Offender LWB locations of goal attempts;[]
Offender RF distance traveled;52.9900000000007
Offender RF distance traveled without ball;50.74000000000059
Offender RF distance traveled with ball;2.249999999999998
Offender RF time steps without ball;1813
Offender RF time steps with ball;76
Offender RF receive locations;[(-0.2517220569341449, 31.909432010065917)]
Offender RF number of keeps;75
Offender RF number of goals;0
Offender RF location of goal shots;[]
Offender RF number of passes;1
Offender RF number of goal attempts;0
Offender RF locations of goal attempts;[]
Offender LF distance traveled;49.610000000000134
Offender LF distance traveled without ball;49.610000000000134
Offender LF distance traveled with ball;0
Offender LF time steps without ball;1889
Offender LF time steps with ball;0
Offender LF receive locations;[]
Offender LF number of keeps;0
Offender LF number of goals;0
Offender LF location of goal shots;[]
Offender LF number of passes;0
Offender LF number of goal attempts;0
Offender LF locations of goal attempts;[]
Defender LB distance traveled;56.67000000000105
Defender LB interceptions;0
Defender LB interception locations;[]
Defender LB number of blocks;0
Defender LCB distance traveled;56.67000000000138
Defender LCB interceptions;0
Defender LCB interception locations;[]
Defender LCB number of blocks;0
Defender RCB distance traveled;56.67000000000132
Defender RCB interceptions;0
Defender RCB interception locations;[]
Defender RCB number of blocks;0
Defender RB distance traveled;56.67000000000108
Defender RB interceptions;0
Defender RB interception locations;[]
Defender RB number of blocks;0
Defender LM distance traveled;56.67000000000099
Defender LM interceptions;0
Defender LM interception locations;[]
Defender LM number of blocks;0
Defender LCM distance traveled;56.670000000001124
Defender LCM interceptions;0
Defender LCM interception locations;[]
Defender LCM number of blocks;0
Defender RCM distance traveled;56.670000000001124
Defender RCM interceptions;0
Defender RCM interception locations;[]
Defender RCM number of blocks;1
Defender RM distance traveled;56.670000000000975
Defender RM interceptions;0
Defender RM interception locations;[]
Defender RM number of blocks;0
Defender LF distance traveled;56.67000000000093
Defender LF interceptions;0
Defender LF interception locations;[]
Defender LF number of blocks;0
Defender RF distance traveled;56.67000000000082
Defender RF interceptions;0
Defender RF interception locations;[]
Defender RF number of blocks;0
